"dep";"sexe";"jour";"hosp";"rea";"rad";"dc"
"01";0;"2020-03-27";49;9;17;2
"01";1;"2020-03-27";33;8;10;0
"01";2;"2020-03-27";16;1;7;2
"02";0;"2020-03-27";132;35;90;37
"02";1;"2020-03-27";71;20;38;28
"02";2;"2020-03-27";61;15;52;9
"03";0;"2020-03-27";18;2;27;4
"03";1;"2020-03-27";5;0;11;2
"03";2;"2020-03-27";12;1;16;2
"04";0;"2020-03-27";11;1;18;0
"04";1;"2020-03-27";6;1;7;0
"04";2;"2020-03-27";5;0;11;0
"05";0;"2020-03-27";32;7;22;1
"05";1;"2020-03-27";16;4;13;0
"05";2;"2020-03-27";16;3;9;1
"06";0;"2020-03-27";99;22;99;12
"06";1;"2020-03-27";60;19;42;5
"06";2;"2020-03-27";37;2;55;7
"07";0;"2020-03-27";54;9;45;9
"07";1;"2020-03-27";22;4;18;6
"07";2;"2020-03-27";18;1;26;2
"08";0;"2020-03-27";14;8;2;0
"08";1;"2020-03-27";8;5;2;0
"08";2;"2020-03-27";6;3;0;0
"09";0;"2020-03-27";8;1;4;0
"09";1;"2020-03-27";6;1;2;0
"09";2;"2020-03-27";2;0;2;0
"10";0;"2020-03-27";61;13;3;6
"10";1;"2020-03-27";42;10;3;5
"10";2;"2020-03-27";17;3;0;1
"11";0;"2020-03-27";45;14;26;15
"11";1;"2020-03-27";31;10;12;12
"11";2;"2020-03-27";14;4;14;3
"12";0;"2020-03-27";24;6;13;5
"12";1;"2020-03-27";11;3;5;3
"12";2;"2020-03-27";13;3;8;2
"13";0;"2020-03-27";525;110;334;20
"13";1;"2020-03-27";285;74;161;8
"13";2;"2020-03-27";218;36;160;12
"14";0;"2020-03-27";63;21;12;2
"14";1;"2020-03-27";38;17;6;2
"14";2;"2020-03-27";25;4;6;0
"15";0;"2020-03-27";7;4;2;0
"15";1;"2020-03-27";4;2;2;0
"15";2;"2020-03-27";3;2;0;0
"16";0;"2020-03-27";27;5;8;4
"16";1;"2020-03-27";13;1;4;2
"16";2;"2020-03-27";11;3;3;2
"17";0;"2020-03-27";36;13;16;0
"17";1;"2020-03-27";23;9;9;0
"17";2;"2020-03-27";13;4;7;0
"18";0;"2020-03-27";12;4;3;2
