"dep";"jour";"nb"
"01";"2020-03-27";6
"02";"2020-03-27";8
"03";"2020-03-27";3
"04";"2020-03-27";3
"05";"2020-03-27";2
"06";"2020-03-27";9
"07";"2020-03-27";4
"08";"2020-03-27";1
"09";"2020-03-27";2
"10";"2020-03-27";2
"11";"2020-03-27";5
"12";"2020-03-27";2
"13";"2020-03-27";24
"14";"2020-03-27";6
"15";"2020-03-27";1
"16";"2020-03-27";1
"17";"2020-03-27";3
"18";"2020-03-27";1
"19";"2020-03-27";4
"21";"2020-03-27";4
"22";"2020-03-27";5
"23";"2020-03-27";1
"24";"2020-03-27";2
"25";"2020-03-27";3
"26";"2020-03-27";6
"27";"2020-03-27";3
"28";"2020-03-27";3
"29";"2020-03-27";4
"2A";"2020-03-27";1
"2B";"2020-03-27";1
"30";"2020-03-27";3
"31";"2020-03-27";12
"32";"2020-03-27";1
"33";"2020-03-27";15
"34";"2020-03-27";15
"35";"2020-03-27";4
"36";"2020-03-27";2
"37";"2020-03-27";4
"38";"2020-03-27";7
"39";"2020-03-27";3
"40";"2020-03-27";2
"41";"2020-03-27";1
"42";"2020-03-27";9
"43";"2020-03-27";2
"44";"2020-03-27";8
"45";"2020-03-27";3
"46";"2020-03-27";1
"47";"2020-03-27";1
"48";"2020-03-27";1
"49";"2020-03-27";3
"50";"2020-03-27";3
"51";"2020-03-27";7
"52";"2020-03-27";3
"53";"2020-03-27";4
"54";"2020-03-27";10
"55";"2020-03-27";3
"56";"2020-03-27";5
"57";"2020-03-27";13
"58";"2020-03-27";1
"59";"2020-03-27";20
"60";"2020-03-27";11
"61";"2020-03-27";4
"62";"2020-03-27";15
"63";"2020-03-27";3
"64";"2020-03-27";4
"65";"2020-03-27";3
"66";"2020-03-27";1
"67";"2020-03-27";18
"68";"2020-03-27";20
"69";"2020-03-27";24
"70";"2020-03-27";1
"71";"2020-03-27";6
"72";"2020-03-27";4
"73";"2020-03-27";6
"74";"2020-03-27";9
"75";"2020-03-27";31
"76";"2020-03-27";8
"77";"2020-03-27";13
"78";"2020-03-27";10
"79";"2020-03-27";2
"80";"2020-03-27";13
"81";"2020-03-27";4
"82";"2020-03-27";1
"83";"2020-03-27";8
"84";"2020-03-27";7
"85";"2020-03-27";3
"86";"2020-03-27";2
"87";"2020-03-27";2
"88";"2020-03-27";6
"89";"2020-03-27";2
"90";"2020-03-27";1
"91";"2020-03-27";12
"92";"2020-03-27";18
"93";"2020-03-27";15
"94";"2020-03-27";14
"95";"2020-03-27";9
"971";"2020-03-27";1
"972";"2020-03-27";1
"973";"2020-03-27";0
"974";"2020-03-27";1
"976";"2020-03-27";0
