dep;semaine;sursaud_cl_age_corona;Nbre_pass_Corona;Nbre_pass_tot;Nbre_hospit_Corona;Nbre_acte_corona;Nbre_acte_tot
01;2020-S10;0;0;1929;0;;
01;2020-S10;A;0;351;0;;
01;2020-S10;B;0;751;0;;
01;2020-S10;C;0;371;0;;
01;2020-S10;D;0;172;0;;
01;2020-S10;E;0;284;0;;
01;2020-S11;0;29;1899;9;;
01;2020-S11;A;1;349;0;;
01;2020-S11;B;11;753;3;;
01;2020-S11;C;8;384;2;;
01;2020-S11;D;2;174;1;;
01;2020-S11;E;7;239;3;;
01;2020-S12;0;84;1193;33;;
01;2020-S12;A;2;185;0;;
01;2020-S12;B;28;444;3;;
01;2020-S12;C;31;269;14;;
01;2020-S12;D;13;104;11;;
01;2020-S12;E;10;191;5;;
02;2020-S10;0;56;2882;10;2;2376
02;2020-S10;A;5;669;4;0;643
02;2020-S10;B;31;1008;3;0;1048
02;2020-S10;C;19;528;2;1;368
02;2020-S10;D;0;251;0;1;115
02;2020-S10;E;1;426;1;0;159
02;2020-S11;0;92;2703;30;33;2631
02;2020-S11;A;0;676;0;5;748
02;2020-S11;B;35;930;3;16;1140
02;2020-S11;C;25;501;7;9;429
02;2020-S11;D;17;233;9;1;119
02;2020-S11;E;15;362;11;2;170
02;2020-S12;0;141;1573;52;119;1650
02;2020-S12;A;0;294;0;20;417
02;2020-S12;B;36;520;6;53;717
02;2020-S12;C;47;342;18;29;286
02;2020-S12;D;20;161;9;9;95
02;2020-S12;E;38;255;19;4;106
03;2020-S10;0;0;1195;0;;
03;2020-S10;A;0;182;0;;
03;2020-S10;B;0;436;0;;
03;2020-S10;C;0;228;0;;
03;2020-S10;D;0;107;0;;
03;2020-S10;E;0;242;0;;
03;2020-S11;0;30;1240;28;;
03;2020-S11;A;2;205;1;;
03;2020-S11;B;19;436;19;;
03;2020-S11;C;8;256;7;;
03;2020-S11;D;0;122;0;;
03;2020-S11;E;1;221;1;;
03;2020-S12;0;54;580;21;;
03;2020-S12;A;2;50;0;;
03;2020-S12;B;24;201;4;;
03;2020-S12;C;12;135;2;;
03;2020-S12;D;3;54;3;;
03;2020-S12;E;13;140;12;;
04;2020-S10;0;0;1212;0;;
04;2020-S10;A;0;236;0;;
04;2020-S10;B;0;406;0;;
04;2020-S10;C;0;261;0;;
04;2020-S10;D;0;116;0;;
04;2020-S10;E;0;193;0;;
04;2020-S11;0;8;1118;6;;
04;2020-S11;A;0;182;0;;
04;2020-S11;B;1;380;1;;
04;2020-S11;C;3;261;1;;
04;2020-S11;D;4;113;4;;
04;2020-S11;E;0;182;0;;
04;2020-S12;0;25;749;11;;
04;2020-S12;A;1;113;0;;
04;2020-S12;B;12;265;3;;
04;2020-S12;C;9;193;5;;
04;2020-S12;D;1;74;1;;
04;2020-S12;E;2;104;2;;
05;2020-S10;0;24;1165;9;;
05;2020-S10;A;4;235;1;;
05;2020-S10;B;9;426;2;;
05;2020-S10;C;11;265;6;;
05;2020-S10;D;0;110;0;;
05;2020-S10;E;0;129;0;;
05;2020-S11;0;103;1134;11;;
05;2020-S11;A;6;173;1;;
05;2020-S11;B;47;443;4;;
05;2020-S11;C;40;257;3;;
05;2020-S11;D;5;103;2;;
05;2020-S11;E;5;158;1;;
05;2020-S12;0;183;738;37;;
05;2020-S12;A;6;89;1;;
05;2020-S12;B;76;273;4;;
05;2020-S12;C;75;226;16;;
05;2020-S12;D;10;57;5;;
05;2020-S12;E;16;93;11;;
06;2020-S10;0;77;6153;53;0;1221
06;2020-S10;A;5;1293;5;0;346
06;2020-S10;B;21;2167;8;0;479
06;2020-S10;C;17;1123;9;0;202
06;2020-S10;D;9;534;7;0;64
06;2020-S10;E;25;1036;24;0;130
06;2020-S11;0;260;5795;205;0;1214
06;2020-S11;A;31;1349;30;0;334
06;2020-S11;B;90;2102;65;0;484
06;2020-S11;C;55;1023;35;0;220
06;2020-S11;D;32;463;27;0;55
06;2020-S11;E;52;858;48;0;121
06;2020-S12;0;316;3675;187;109;1221
06;2020-S12;A;14;647;13;12;281
06;2020-S12;B;111;1271;46;56;498
06;2020-S12;C;77;786;38;27;239
06;2020-S12;D;39;322;26;9;75
06;2020-S12;E;75;649;64;5;128
07;2020-S10;0;2;1020;0;;
07;2020-S10;A;0;88;0;;
07;2020-S10;B;1;416;0;;
07;2020-S10;C;1;224;0;;
07;2020-S10;D;0;110;0;;
07;2020-S10;E;0;182;0;;
07;2020-S11;0;4;985;0;;
07;2020-S11;A;0;88;0;;
07;2020-S11;B;2;440;0;;
07;2020-S11;C;2;243;0;;
07;2020-S11;D;0;87;0;;
07;2020-S11;E;0;127;0;;
07;2020-S12;0;26;683;3;;
07;2020-S12;A;0;36;0;;
07;2020-S12;B;14;264;0;;
07;2020-S12;C;7;171;1;;
07;2020-S12;D;3;86;1;;
07;2020-S12;E;2;126;1;;
08;2020-S10;0;1;1686;0;;
08;2020-S10;A;0;389;0;;
08;2020-S10;B;0;569;0;;
08;2020-S10;C;1;298;0;;
08;2020-S10;D;0;169;0;;
08;2020-S10;E;0;261;0;;
08;2020-S11;0;1;1450;0;;
08;2020-S11;A;0;332;0;;
08;2020-S11;B;1;515;0;;
08;2020-S11;C;0;267;0;;
08;2020-S11;D;0;124;0;;
08;2020-S11;E;0;212;0;;
08;2020-S12;0;2;863;0;;
08;2020-S12;A;1;178;0;;
08;2020-S12;B;0;266;0;;
08;2020-S12;C;0;182;0;;
08;2020-S12;D;0;86;0;;
08;2020-S12;E;1;151;0;;
09;2020-S10;0;0;901;0;;
09;2020-S10;A;0;153;0;;
09;2020-S10;B;0;325;0;;
09;2020-S10;C;0;187;0;;
09;2020-S10;D;0;91;0;;
09;2020-S10;E;0;145;0;;
09;2020-S11;0;12;836;1;;
09;2020-S11;A;0;157;0;;
09;2020-S11;B;9;264;0;;
09;2020-S11;C;3;171;1;;
09;2020-S11;D;0;80;0;;
09;2020-S11;E;0;164;0;;
09;2020-S12;0;4;405;1;;
09;2020-S12;A;1;56;1;;
09;2020-S12;B;0;125;0;;
09;2020-S12;C;3;94;0;;
09;2020-S12;D;0;52;0;;
09;2020-S12;E;0;78;0;;
10;2020-S10;0;0;1361;0;1;988
10;2020-S10;A;0;310;0;0;301
10;2020-S10;B;0;516;0;1;468
10;2020-S10;C;0;208;0;0;126
10;2020-S10;D;0;97;0;0;32
10;2020-S10;E;0;230;0;0;60
10;2020-S11;0;2;1295;2;6;1033
10;2020-S11;A;0;311;0;2;328
10;2020-S11;B;0;478;0;3;471
10;2020-S11;C;0;202;0;1;144
10;2020-S11;D;0;101;0;0;27
10;2020-S11;E;2;203;2;0;63
10;2020-S12;0;49;856;18;62;868
10;2020-S12;A;0;139;0;2;228
10;2020-S12;B;23;320;4;42;432
10;2020-S12;C;11;160;2;15;129
10;2020-S12;D;5;82;4;1;30
10;2020-S12;E;10;155;8;2;49
11;2020-S10;0;0;2044;0;;
11;2020-S10;A;0;396;0;;
11;2020-S10;B;0;756;0;;
11;2020-S10;C;0;406;0;;
11;2020-S10;D;0;195;0;;
11;2020-S10;E;0;291;0;;
11;2020-S11;0;36;1973;5;;
11;2020-S11;A;4;415;0;;
11;2020-S11;B;19;678;1;;
11;2020-S11;C;9;394;1;;
11;2020-S11;D;3;205;3;;
11;2020-S11;E;1;281;0;;
11;2020-S12;0;79;1070;37;;
11;2020-S12;A;3;124;0;;
11;2020-S12;B;24;386;4;;
11;2020-S12;C;26;272;9;;
11;2020-S12;D;15;117;14;;
11;2020-S12;E;11;171;10;;
12;2020-S10;0;0;925;0;;
12;2020-S10;A;0;147;0;;
12;2020-S10;B;0;335;0;;
12;2020-S10;C;0;188;0;;
12;2020-S10;D;0;96;0;;
12;2020-S10;E;0;159;0;;
